Name,Insta Handle,Twitter Handles,Final Insta,Final Twitter
Manoj Bajpayee,bajpayee.manoj,BajpayeeManoj,0.82,1.53
Mrunal Thakur,mrunalofficial2016,mrunal0801,0.72,0.51
Nargis Fakhri,nargisfakhri,NargisFakhri,0.49,0.97
Naseeruddin Shah,naseerudinshah,naseeruddinshah,0,0.13
Nawazuddin Siddiqui,nawazuddin._siddiqui,Nawazuddin_S,0.81,1.14
Nushrat Bharucha,,bnushrat,0,0
Parineeti Chopra,parineetichopra,ParineetiChopra,0.84,0.44
Prabhas,actorprabhas,PrabhasRaju,0.09,1.07
Preity Zinta,realpz,realpreityzinta,0.74,0.97
Priyanka Chopra,priyankachopra,priyankachopra,1.29,1.57
